Date,6758.T_Close
2016-06-03,3072.0
2016-06-06,3085.0
2016-06-07,3102.0
2016-06-08,3117.0
2016-06-09,3074.0
2016-06-10,3051.0
2016-06-13,2930.0
2016-06-14,2941.0
2016-06-15,2975.0
2016-06-16,2879.5
2016-06-17,2899.0
2016-06-20,2987.5
2016-06-21,3060.0
2016-06-22,3004.0
2016-06-23,3017.0
2016-06-24,2775.5
2016-06-27,2782.0
2016-06-28,2825.5
2016-06-29,2962.0
2016-06-30,2988.0
2016-07-01,3007.0
2016-07-04,3038.0
2016-07-05,3036.0
2016-07-06,3029.0
2016-07-07,3034.0
2016-07-08,3013.0
2016-07-11,3013.0
2016-07-12,3141.0
2016-07-13,3074.0
2016-07-14,3162.0
2016-07-15,3179.0
2016-07-19,3236.0
2016-07-20,3232.0
2016-07-21,3213.0
2016-07-22,3196.0
2016-07-25,3160.0
2016-07-26,3160.0
2016-07-27,3226.0
2016-07-28,3192.0
2016-07-29,3282.0
2016-08-01,3339.0
2016-08-02,3323.0
2016-08-03,3268.0
2016-08-04,3279.0
2016-08-05,3293.0
2016-08-08,3297.0
2016-08-09,3374.0
2016-08-10,3373.0
2016-08-12,3349.0
2016-08-15,3300.0
2016-08-16,3295.0
2016-08-17,3253.0
2016-08-18,3270.0
2016-08-19,3273.0
2016-08-22,3319.0
2016-08-23,3302.0
2016-08-24,3373.0
2016-08-25,3371.0
2016-08-26,3331.0
2016-08-29,3347.0
2016-08-30,3326.0
2016-08-31,3325.0
2016-09-01,3300.0
2016-09-02,3350.0
2016-09-05,3401.0
2016-09-06,3435.0
2016-09-07,3437.0
2016-09-08,3411.0
2016-09-09,3389.0
2016-09-12,3287.0
2016-09-13,3337.0
2016-09-14,3319.0
2016-09-15,3279.0
2016-09-16,3270.0
2016-09-20,3320.0
2016-09-21,3373.0
2016-09-23,3400.0
2016-09-26,3381.0
2016-09-27,3378.0
2016-09-28,3368.0
2016-09-29,3383.0
2016-09-30,3293.0
2016-10-03,3335.0
2016-10-04,3371.0
2016-10-05,3392.0
2016-10-06,3385.0
2016-10-07,3350.0
2016-10-11,3414.0
2016-10-12,3384.0
2016-10-13,3428.0
2016-10-14,3439.0
2016-10-17,3426.0
2016-10-18,3472.0
2016-10-19,3402.0
2016-10-20,3403.0
2016-10-21,3321.0
2016-10-24,3318.0
2016-10-25,3330.0
2016-10-26,3325.0
2016-10-27,3302.0
2016-10-28,3300.0
2016-10-31,3361.0
2016-11-01,3337.0
2016-11-02,3265.0
2016-11-04,3175.0
2016-11-07,3149.0
2016-11-08,3185.0
